uf,sigla,qtd_testes_validos
Rondônia,RO,1828
Paraná,PR,5767
Alagoas,AL,3081
Santa Catarina,SC,7083
São Paulo,SP,11894
Rio de Janeiro,RJ,10342
Roraima,RR,2527
Distrito Federal,DF,4512
Acre,AC,1611
Rio Grande do Norte,RN,2636
Mato Grosso do Sul,MS,3052
Bahia,BA,5341
Mato Grosso,MT,4488
Minas Gerais,MG,8510
Paraíba,PB,3522
Rio Grande do Sul,RS,7224
Amapá,AP,1216
Goiás,GO,7514
Pará,PA,3806
Amazonas,AM,3623
Sergipe,SE,2953
Pernambuco,PE,3861
Maranhão,MA,5945
Espírito Santo,ES,5063
Piauí,PI,4811
Ceará,CE,5225
Tocantins,TO,1851
