uf,sigla,qtd_testes_validos,qtd_testes_positivos,taxa_incidencia_mil_habitantes
Rondônia,RO,1828,571,312
Paraná,PR,5767,1060,184
Alagoas,AL,3081,975,316
Santa Catarina,SC,7083,1612,228
São Paulo,SP,11894,2150,181
Rio de Janeiro,RJ,10342,2086,202
Roraima,RR,2527,1241,491
Distrito Federal,DF,4512,1079,239
Acre,AC,1611,675,419
Rio Grande do Norte,RN,2636,693,263
Mato Grosso do Sul,MS,3052,635,208
Bahia,BA,5341,1046,196
Mato Grosso,MT,4488,1248,278
Minas Gerais,MG,8510,1450,170
Paraíba,PB,3522,797,226
Rio Grande do Sul,RS,7224,1144,158
Amapá,AP,1216,529,435
Goiás,GO,7514,2014,268
Pará,PA,3806,1276,335
Amazonas,AM,3623,1476,407
Sergipe,SE,2953,846,286
Pernambuco,PE,3861,805,208
Maranhão,MA,5945,2148,361
Espírito Santo,ES,5063,1388,274
Piauí,PI,4811,996,207
Ceará,CE,5225,1540,295
Tocantins,TO,1851,577,312
