questao_tipo_trabalho_realizado,qtd_testes_validos,qtd_testes_positivos,taxa_incidencia_mil_habitantes
"Segurança, vigilante, outro trabalhador dos serviços de proteção",1697,451,266
"Cuidador de crianças, doentes ou idosos",340,61,179
"Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro",3218,741,230
Operador de Telemarketing,394,91,231
"Secretária, recepcionista",2121,527,248
"Outra profissão de nível superior (advogado, engenheiro, contador, jornalista etc.)",6075,1148,189
"Artista, religioso (padre, pastor etc.)",193,41,212
"Entregador de mercadorias (de restaurante, de farmácia, de loja, Uber Eats, IFood, Rappy etc.)",370,94,254
"Balconista, vendedor de loja",2693,685,254
"Motorista (de aplicativo, de taxi, de van, de mototáxi, de ônibus)",1838,425,231
"Auxiliar de produção, de carga e descarga;",1901,419,220
"Vendedor ambulante (feirante, camelô, comerciante de rua, quiosque)",707,227,321
"Padeiro, açougueiro e doceiro",553,130,235
"Mecânico de veículos, máquinas industriais etc.",1281,363,283
"Auxiliar de escritório, escriturário",4120,969,235
"Faxineiro, auxiliar de limpeza etc. (em empresa pública ou privada),",2584,594,230
"Auxiliar da agropecuária (colhedor de frutas, boia fria, etc.)",648,88,136
"Cozinheiro e garçom (de restaurantes, empresas)",1161,334,288
"Porteiro, zelador",455,109,240
"Vendedor a domicílio, representante de vendas, vendedor de catálogo (Avon, Natura etc.)",1561,399,256
"Motoboy,",152,32,211
"Diretor, gerente, cargo político ou comissionado",3744,905,242
"Comerciante (dono do bar, da loja etc.)",2039,674,331
"Motorista de caminhão (caminhoneiro),",1280,318,248
"Professor da educação infantil, de ensino fundamental, médio ou superior,",3384,919,272
"Empregado doméstico, diarista, cozinheiro (em domicílios particulares),",2724,641,235
Outro técnico ou profissional de nível médio,4254,901,212
"Agricultor, criador de animais, pescador, silvicultor e jardineiro",2829,774,274
Policial civil,310,75,242
"Técnico, profissional da saúde de nível médio",4340,1116,257
"Cabeleireiro, manicure e afins",1042,330,317
"Médico, enfermeiro, profissionais de saúde de nível superior",4420,998,226
"Operador de máquinas, montador na indústria;",1706,347,203
"Pedagogo, professor de idiomas, música, arte e reforço escolar",468,127,271
"Artesão, costureiro e sapateiro",1026,301,293
